date,births,deaths,proportion_deaths
1841-01-01,254,37,0.14566929133858267
1841-02-01,239,18,0.07531380753138076
1841-03-01,277,12,0.04332129963898917
1841-04-01,255,4,0.01568627450980392
1841-05-01,255,2,0.00784313725490196
1841-06-01,200,10,0.05
1841-07-01,190,16,0.08421052631578947
1841-08-01,222,3,0.013513513513513514
1841-09-01,213,4,0.018779342723004695
1841-10-01,236,26,0.11016949152542373
1841-11-01,235,53,0.225531914893617
1842-01-01,307,64,0.20846905537459284
1842-02-01,311,38,0.12218649517684887
1842-03-01,264,27,0.10227272727272728
1842-04-01,242,26,0.10743801652892562
1842-05-01,310,10,0.03225806451612903
1842-06-01,273,18,0.06593406593406594
1842-07-01,231,48,0.2077922077922078
1842-08-01,216,55,0.25462962962962965
1842-09-01,223,41,0.18385650224215247
1842-10-01,242,71,0.29338842975206614
1842-11-01,209,48,0.22966507177033493
1842-12-01,239,75,0.3138075313807531
1843-01-01,272,52,0.19117647058823528
1843-02-01,263,42,0.1596958174904943
1843-03-01,266,33,0.12406015037593984
1843-04-01,285,34,0.11929824561403508
1843-05-01,246,15,0.06097560975609756
1843-06-01,196,8,0.04081632653061224
1843-07-01,191,1,0.005235602094240838
1843-08-01,193,3,0.015544041450777202
1843-09-01,221,5,0.02262443438914027
1843-10-01,250,44,0.176
1843-11-01,252,18,0.07142857142857142
1843-12-01,236,19,0.08050847457627118
1844-01-01,244,37,0.15163934426229508
1844-02-01,257,29,0.11284046692607004
1844-03-01,276,47,0.17028985507246377
1844-04-01,208,36,0.17307692307692307
1844-05-01,240,14,0.058333333333333334
1844-06-01,224,6,0.026785714285714284
1844-07-01,206,9,0.043689320388349516
1844-08-01,269,17,0.06319702602230483
1844-09-01,245,3,0.012244897959183673
1844-10-01,248,8,0.03225806451612903
1844-11-01,245,27,0.11020408163265306
1844-12-01,256,27,0.10546875
1845-01-01,303,23,0.07590759075907591
1845-02-01,274,13,0.04744525547445255
1845-03-01,292,13,0.04452054794520548
1845-04-01,260,11,0.04230769230769231
1845-05-01,296,13,0.04391891891891892
1845-06-01,280,20,0.07142857142857142
1845-07-01,245,15,0.061224489795918366
1845-08-01,251,9,0.035856573705179286
1845-09-01,237,25,0.10548523206751055
1845-10-01,283,42,0.14840989399293286
1845-11-01,265,29,0.10943396226415095
1845-12-01,267,28,0.10486891385767791
1846-01-01,336,45,0.13392857142857142
1846-02-01,293,53,0.18088737201365188
1846-03-01,311,48,0.15434083601286175
1846-04-01,253,48,0.18972332015810275
1846-05-01,305,41,0.13442622950819672
1846-06-01,266,27,0.10150375939849623
1846-07-01,252,33,0.13095238095238096
1846-08-01,216,39,0.18055555555555555
1846-09-01,271,39,0.14391143911439114
1846-10-01,254,38,0.14960629921259844
1846-11-01,297,32,0.10774410774410774
1846-12-01,298,16,0.053691275167785234
1847-01-01,311,10,0.03215434083601286
1847-02-01,312,6,0.019230769230769232
1847-03-01,305,11,0.036065573770491806
1847-04-01,312,57,0.18269230769230768
1847-05-01,294,36,0.12244897959183673
1847-06-01,268,6,0.022388059701492536
1847-07-01,250,3,0.012
1847-08-01,264,5,0.01893939393939394
1847-09-01,262,12,0.04580152671755725
1847-10-01,278,11,0.039568345323741004
1847-11-01,246,11,0.044715447154471545
1847-12-01,273,8,0.029304029304029304
1848-01-01,283,10,0.0353356890459364
1848-02-01,291,2,0.006872852233676976
1848-03-01,276,0,0.0
1848-04-01,305,2,0.006557377049180328
1848-05-01,313,3,0.009584664536741214
1848-06-01,264,3,0.011363636363636364
1848-07-01,269,1,0.0037174721189591076
1848-08-01,261,0,0.0
1848-09-01,312,3,0.009615384615384616
1848-10-01,299,7,0.023411371237458192
1848-11-01,310,9,0.02903225806451613
1848-12-01,373,5,0.013404825737265416
1849-01-01,403,9,0.022332506203473945
1849-02-01,389,12,0.030848329048843187
1849-03-01,406,20,0.04926108374384237
